"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","top","postVar","treated"
"44",22,"Bundesliga","2008/2009",2008-08-30,"Hoffenheim",2,5,22,14,2,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"45",23,"Bundesliga","2008/2009",2008-08-30,"M'gladbach",3,2,16,14,2,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"46",23,"Bundesliga","2008/2009",2008-08-30,"Werder Bremen",2,3,14,16,4,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"47",24,"Bundesliga","2008/2009",2008-08-30,"Schalke 04",1,0,11,27,0,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"48",24,"Bundesliga","2008/2009",2008-08-30,"Bochum",0,1,27,11,1,1,"L",0,"AwayTeam","2008-08",0,0,0,1
"49",25,"Bundesliga","2008/2009",2008-08-30,"Wolfsburg",2,2,28,20,2,0,"D",0,"HomeTeam","2008-08",1,1,0,1
"50",25,"Bundesliga","2008/2009",2008-08-30,"Ein Frankfurt",2,2,20,28,2,0,"D",0,"AwayTeam","2008-08",0,0,0,1
"51",26,"Bundesliga","2008/2009",2008-08-31,"Bayern Munich",4,1,19,16,0,0,"W",0,"HomeTeam","2008-08",1,1,0,1
"52",26,"Bundesliga","2008/2009",2008-08-31,"Hertha",1,4,16,19,3,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"53",27,"Bundesliga","2008/2009",2008-08-31,"Stuttgart",2,0,13,19,1,0,"W",0,"HomeTeam","2008-08",1,1,0,1
"54",27,"Bundesliga","2008/2009",2008-08-31,"Hannover",0,2,19,13,1,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"55",28,"Bundesliga","2008/2009",2008-09-13,"Dortmund",3,3,21,19,3,0,"D",0,"HomeTeam","2008-09",1,0,0,1
"56",28,"Bundesliga","2008/2009",2008-09-13,"Schalke 04",3,3,19,21,1,2,"D",0,"AwayTeam","2008-09",0,0,0,1
"57",29,"Bundesliga","2008/2009",2008-09-13,"FC Koln",0,3,13,19,1,0,"L",0,"HomeTeam","2008-09",1,0,0,1
"58",29,"Bundesliga","2008/2009",2008-09-13,"Bayern Munich",3,0,19,13,0,0,"W",0,"AwayTeam","2008-09",0,1,0,1
"59",30,"Bundesliga","2008/2009",2008-09-13,"Hamburg",3,2,11,20,2,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"60",30,"Bundesliga","2008/2009",2008-09-13,"Leverkusen",2,3,20,11,1,1,"L",0,"AwayTeam","2008-09",0,0,0,1
"61",31,"Bundesliga","2008/2009",2008-09-13,"Hertha",2,2,17,17,2,0,"D",0,"HomeTeam","2008-09",1,0,0,1
"62",31,"Bundesliga","2008/2009",2008-09-13,"Wolfsburg",2,2,17,17,0,0,"D",0,"AwayTeam","2008-09",0,1,0,1
"63",32,"Bundesliga","2008/2009",2008-09-13,"Hoffenheim",0,0,16,24,4,0,"D",0,"HomeTeam","2008-09",1,0,0,1
